성명,소속,직위,재산의 종류,대분류,본인과의 관계,소재지 면적 등 권리의 명세,종전가액,증가액,증가액_실거래가,감소액,감소액_실거래가,현재가액,변동사유,개별index,지역
차동형,재단법인 울산테크노파크,원장,건물,아파트,본인,경기도 성남시 분당구 정자동 상록마을 우성아파트 건물101.98㎡,468000,0,0,0,0,468000,변동없음,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,건물,아파트,본인,경기도 성남시 분당구 금곡동 청솔마을 공무원아파트 건물0.00㎡ (건물 58.19㎡ 감소),278000,0,0,278000,0,0,배우자 공동소유로 인한 지분별 각각 신고를 위한 삭제,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,건물,아파트,본인,"경기도 성남시 분당구 금곡동 청솔마을공무원아파트 건물58.19㎡ 중 29.09㎡ (건물 총면적 58.19㎡ 증가, 지분면적29.09㎡ 증가)",0,167971,510000,0,0,167971,배우자 공동소유로 인한 지분별 각각 신고,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,건물,근린생활시설,본인,"부산광역시 동래구 사직동 대지 184.30㎡ 건물 109.20㎡ (대지184.30㎡ 증가, 건물 109.20㎡ 증가)",0,441070,1,0,0,441070,상속,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,건물,아파트,배우자,"경기도 성남시 분당구 금곡동 청솔마을공무원아파트 건물58.19㎡ 중 29.10㎡ (건물 총면적 58.19㎡ 증가, 지분면적29.10㎡ 증가)",0,168029,510000,0,0,168029,배우자 공동소유로 인한 지분별 각각 신고,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2013년식 그랜저 배기량(2,400cc) 감소",10450,0,0,10450,0,0,배우자 공동소유로 인한 지분별 각각 신고를 위한 삭제,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2013년식 그랜저 배기량(2,400cc) 증가",0,5105,0,0,0,5105,배우자 공동소유로 인한 지분별 각각 신고,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,배우자,"2013년식 그랜저 배기량(2,400cc) 증가",0,5105,0,0,0,5105,배우자 공동소유로 인한 지분별 각각 신고,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,예금,예금,본인,"미래에셋대우(주) 7,953(130,268 감소), 삼성생명보험 30,681(25,531 감소), 농협은행 11,993(6,147 감소),하이투자증권 55, 국민은행 4,582(224 증가), 과학기술인공제회 10,031(10,031 증가), 경남은행 4,362(4,362 증가)",216986,14617,0,161946,0,69657,퇴직연금 가입 등,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,예금,예금,배우자,"(주)KEB하나은행 228,300(220,740 증가), 농협중앙회 1,신한은행 301, 하나생명보험 17,798(1,141 증가)",24519,221881,0,0,0,246400,퇴직연금 가입 등,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,예금,예금,장녀,신한은행 84(399 감소),483,0,0,399,0,84,퇴직연금 가입 등,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,유가증권,상장주식,본인,"SK하이닉스 0주(240주 감소), 강스템바이오텍 0주(6,100주감소)",95436,0,0,95436,0,0,유가증권 매도,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,채무,건물임대채무,본인,경기도 성남시 분당구 금곡동 청솔마을 공무원아파트 임대보증금,310000,0,0,0,0,310000,변동없음,차동형-재단법인 울산테크노파크-원장,ulsan
